title,content
体育,黄蜂vs湖人首发：科比带伤战保罗 加索尔救赎之战 新浪体育讯北京时间4月27日，NBA季后赛首轮洛杉矶湖人主场迎战新奥尔良黄蜂，此前的比赛中，双方战成2-2平，因此本场比赛对于两支球队来说都非常重要，赛前双方也公布了首发阵容：湖人队：费舍尔、科比、阿泰斯特、加索尔、拜纳姆黄蜂队：保罗、贝里内利、阿里扎、兰德里、奥卡福[新浪NBA官方微博][新浪NBA湖人新闻动态微博][新浪NBA专题][黄蜂vs湖人图文直播室](新浪体育)
体育,1.7秒神之一击救马刺王朝于危难 这个新秀有点牛！新浪体育讯在刚刚结束的比赛中，回到主场的马刺通过加时以110-103惊险地战胜了灰熊，避免了让主场观众见证黑八的尴尬。在常规时间的最后关头，加里-尼尔命中一记大号三分，这个进球也帮助马刺把比赛带进了加时，并最终翻盘成功。“波波维奇教练安排得很详细，他告诉我有机会就要出手。邓肯的掩护做得很好，他帮我完全挡住了对方的防守球员，我投篮的视野非常好，于是我就出手了。”即使命中了这记价值连城的球，尼尔依然保持着低调。在被问及这是不是他职业生涯最重要的投篮时，他说：“没错，到目前为止是的。”赛季前从没有人听说过的尼尔，如今成为了西部第一马刺不可缺少的拼图，并且在季后赛“赢球或者回家钓鱼”的关键比赛中命中帮助球队续命的关键球。在这成功的背后，隐藏着一段鲜为人知的艰难历程。大一时他效力于拉塞尔大学，拿下A-10赛区的最佳新人，然而一宗强奸指控使得他被球队开除，只好转去了名不见经传的图森大学。虽然在这里他打出了很漂亮的数据和表现，但无奈于身高不足，学校不够好而在选秀中落选。落选后没有任何一个NBA球队和他签下短合同或者是邀请他参加训练营，他并没有选择在小联盟混迹，而是去做了薪水微薄的高中教师。一段时间后，土耳其的一个名不见经传的小俱乐部邀请他去打球，怀着终于可以有球可打的激动心情，他踏上了欧洲之旅。正是在这个小球队，他打出了名气，一举成为土耳其联赛中最耀眼的明星。一年以后他被西班牙豪门巴塞罗那看中，和曾在NBA混迹的纳瓦罗，阿根廷国家队主控桑切斯并肩作战。随后这名来自异国的流浪汉又辗转了意大利贝纳通和西班牙马拉加两只在欧洲颇具实力的队伍，经历了三年在大洋彼岸的磨练后，马刺的一纸三年合约终于让他实现了最初的梦想。在马刺的尼尔时常会让人想起同是旅欧归来的鲍文。虽然在欧洲时是顶尖的得分好手，但在波波维奇麾下，兢兢业业地防守，投中空位三分，做一名完美的角色球员。在很多人眼中的尼尔似乎只是一个普通射手，但他的能力远不止如此，今天比赛的准绝杀证明他有一颗超人不能及的大心脏。(francischen)
体育,1人灭掘金！神般杜兰特！ 他想要分的时候没人能挡新浪体育讯在NBA的世界里，真的猛男，敢于直面惨淡的手感，敢于正视落后的局面，然后用一己之力，力挽狂澜，点燃球迷激情，最后微微一笑，带领球队在季后赛的战场上赢下比赛，并进入下一轮，今日雷霆凯文-杜兰特所做的，无非就是这样的事情。巨星这个东西很难定义，有时候你就是30分30板也未必能得到一个巨星名头，反而会有可能会被称为刷子，而巨星不仅是数据上能够出类拔萃，也不仅仅是能够帮助球队赢球，从意志力层面上来讲，母队比赛快输了，队友的腿都开始抖了，所有人都在看着你，球都到了你手中，此时你上去扶大厦于将倾，这，才是真巨星范儿。而今天的比赛中，杜兰特的手感其实并不好，他在全场比赛还剩下5分31秒之前，只有19投8中，雷霆也以80-87落后掘金7分之多，而在剩下的比赛中，他一人8投6中，其中包括一个三分球，再加上3次罚球，狂砍16分，最终雷霆也在主场以100-97战胜对手，昂首晋级次轮，而且，在终场前9秒，是杜兰特亲手封盖了J.R.-史密斯的三分出手，也亲手送掘金回家钓鱼。而且，在雷霆最后5分31秒内这波20-10的进攻高潮中，除了拉塞尔-威斯布鲁克造犯规2罚1中得1分以外，还有16分为杜兰特自己所得，剩下的那个詹姆斯-哈登的三分球，也来自于杜兰特的助攻！也就是说，除了1分，杜兰特几乎包办了雷霆最后时刻的所有进攻，也等于是杜兰特一个人，就决定了这场比赛，也决定了整个系列赛！少年是最锋利的刀，没有谁比年仅23岁的连续两届得分王杜兰特更想在季后赛里证明自己了！在常规赛MVP的评选中，所有人都在谈论德里克-罗斯的进步，间或有人认为勒布朗-詹姆斯也相当不错，但是几乎没有人会想到杜兰特，没有人会想到这个将去年才勉强西部第八晋级季后赛的球队带到今年首轮便获得主场优势的少年，所有人都被他的得分王的表象所迷惑，很难看清楚他究竟对目前这支雷霆队有着怎样的MVP级别的影响力。甚至有人说过，雷霆今年的进步之大，与威斯布鲁克的成长之快有很大的联系，谁是雷霆真领袖尚未可知。那么我们来看看本场比赛之中威斯布鲁克干了些什么吧，在杜兰特接管比赛之前，威斯布鲁克的手感状态也不很好，但是球队也给了他决定比赛走向的机会。第四节威少登场的时候，雷霆以76-83同样落后7分，威少一击三分球，全场球迷也登时沸腾了起来。但是在后面的几次进攻中，威少也想展示巨星风采，但是他失败了，他贡献给球队的是一次跳投不中，一次三分不中。而连续两次进攻不中之后，分差再度被拉开到7分，此后便有了杜兰特的那一段经典的个人独秀。然而当杜兰特投中独秀中第一个中投时，威少认为球队依然由他掌控，便又一次尝试了单打，结果依然是不中，而后他甚至在一次上篮中被威尔森-钱德勒赏了一击大帽。自这以后，威少除了一次造犯规以外，便再也没有敢自己单干，因为，包括他在内，所有雷霆队员，都已经成为了杜兰特的观众。此一役之后，杜兰特和威少的球队地位以及终结能力高下立判，而杜兰特是一个沉静且善于团结队友的人，用场上实力令威少信服的他，在接下来的比赛中，应该能带着这支青年军走得更远。(三儿)
体育,韩国国奥20人名单：朴周永领衔 两世界杯国脚入选新浪体育讯据韩联社首尔9月17日电 韩国国奥队主教练洪明甫17日下午在位于首尔钟路区的足球会馆召开记者会，公布了参加2010年广州亚运会足球赛的国奥队20人名单。在2010年南非世界杯上立功的朴周永(25岁)和金正友(28岁)成功入选。亚运会男子足球赛规定参赛选手年龄不得超过23岁，但作为外卡每队最多可选用3名24岁以上的选手，而洪明补只选了朴周永和金正友两人。在苏格兰出场机会不多的寄诚庸也将参加亚运会。以下是广州亚运会国奥队名单：守门员：金承圭、李范荣；后卫：洪正好、金英权、金周永、张硕元、洪哲、尹锡英、申光勋、吴宰锡；中场：具子哲、寄诚庸、金正友、金民友、徐正镇、金甫炅、曹永哲；前锋：朴周永、朴喜成、池东元。(新体)
体育,天才中锋崇拜王治郅 周琦：球员最终是靠实力说话2月14日从土耳其男篮邀请赛回到北京之后，周琦马上转机返回辽宁，由于之前比赛打得很辛苦，再加之时差的问题，第二天他一觉睡到了中午。接下来的两天里，周琦感觉比在赛场还要辛苦，因为既要继续坚持训练，还要应付多家媒体的采访邀请，这可是小周琦以前从未遇到过的事情，太多的短信和电话让他的手机一度“瘫痪”。“其实我真不愿意说，我现在还没什么成绩呢。”只有15岁就要应付如此大的荣誉和压力，周琦能否坚持住？“还好，我把他们都看成是督促我前进的动力就好了。”话题重新回到土耳其，周琦依然处在兴奋之中。说到刚刚过去的比赛，周琦说，虽然知道这只是一个邀请赛，而美国、西班牙等强国也没有参加，但是自己还是把它完全当成国际级的正式比赛来对待，“实战的机会毕竟很珍贵嘛。”周琦说。但是一到了赛场，周琦发现很多对手还是很有实力的，让他记忆最深刻的一场比赛不是决赛中险胜东道主土耳其，而是半决赛中与德国拼满3个加时，“那场真是打得很艰难，德国队员的顽强是世界闻名的，不过我们的作风也不输给他们，最后赢球了很高兴。”聪明的周琦不光记住了赢球，还在比赛中注意观察场上的对手，比如德国的一位中锋身体很强硬，而土耳其的中锋技术很扎实，比赛之后，周琦会将对手的表现熟记于心，然后吸取他们身上的长处，充实到自己的训练当中。尽管在接受采访时，周琦表示自己既不做第二个姚明，也不想做第二个王治郅，只想走自己的路，但是周琦的确将王治郅视为自己的偶像，训练或是比赛中的某些动作会不经意地模仿偶像。“我会给自己树立一个标杆，向着那样的方向去努力。无论外界对我有什么样的评价，我一直相信，球员最终是要靠实力说话的。”
体育,22+11!生涯最亮光辉 波什苦等8年终破首轮处男身新浪体育讯迈阿密热火主场97-91击败费城76人，总比分4-1淘汰对手晋级第二轮，即将迎战凯尔特人。波什登场40分钟，贡献22分11个篮板。对于他更具意义的是，这是波什2003年加入联盟以来，8年内第一次突破季后赛首轮！三巨头聚义迈阿密，大家更关注的是勒布朗-詹姆斯和德维恩-韦德，然而波什压抑已久的内心也早已悸动，这才是他愿意降薪来热火的原因。詹姆斯和韦德厌倦了孤军奋战，但他们至少都有过辉煌履历，韦德有一枚总冠军戒指，詹姆斯也曾打进总决赛。三巨头中只有波什最惨，8年了！他只在2007年和2008年打过两次季后赛，而且都是首轮出局。因此今天一战，对波什有着特殊意义。热火开局并没有兑现他们赛前的诺言，开局又被76人打了一个5-0，多亏波什挺身而出，接到詹姆斯的传球，一记暴扣为热火拿到两分。热火在首节中段开始反击，波什的跳投拉吹响了号角，一波13-2顺利在首节结束时实现反超。次节比赛上来，热火选入短暂的得分荒，前两分钟没有人得分，还是波什站了出来，他在9分16秒时补篮得手，让热火29-27再次取得领先。霍乐迪的上篮让76人追到只剩下一分，又是波什强打篮下造成布兰德犯规，两罚全中。3分54秒，布兰德的扣篮让76人反超，不过波什随即有用一次中距离跳投追平比分。半场比赛结束时波什只有10分进账，虽然不算多，但每一分都是在关键时刻取得，同时他还抢下了7个篮板。可以说热火能在上半场稳住局势，波什是最大的功臣，要知道詹姆斯上半场手感甚是冰冷，只有6投1中。第三节波什再次成为热火的主攻点，上来就是一个跳投得手，紧跟着又造成米克斯犯规，两罚一中。伊戈达拉连拿四分为76人追平之后，波什不甘示弱同样连得4分，让热火继续保持领先。前三节打完，波什已经贡献了17分8个篮板。第四节比赛，热火靠着韦德的一波流，本已奠定10分的领先优势，可谁知不服输的76人愣是在还剩2分39秒时追到只剩下两分，关键时刻，波什连续获得四次罚球机会，冷静的全部罚中，热火的领先优势再次回到了3分，最终76人在热火精准的罚球之下无力回天，输掉了比赛，也被淘汰出了季后赛。纵观整场，波什表现非常稳定，22分11个篮板的数据非常抢眼，而在这11个篮板中又有5个前场板，为全队最高，凸显了他在这场比赛中的积极性。细心观察数据可以发现，波什的22分中，有14分是来自运动战，而着在这14分当中，又有5次是来自队友的助攻，其中韦德助攻波什3次，詹姆斯助攻他2次。可能球迷还记得上一场詹姆斯与对手发生冲突时，是波什第一个挺身而出，舍身护住詹姆斯，正是这一举动加深了詹姆斯对波什的好感，也赢得了的队友对他的信任。比赛中，我们可以看到波什并不是一个人孤单的战斗，詹姆斯在自己手感不佳的时候，第一个想到的就是波什。有了这份信任，我们也有理由相信波什会在接下来的比赛中有更好的发挥。正如波什赛后所说，他来到迈阿密可不是只为了破个首轮处男身，三巨头的目标不言而喻，下一个挡在他们面前的就是凯尔特人了。(carry)
体育,26+11+7热火杀神真被逼急了 若非他皇帝靠谁来拯救在勒布朗-詹姆斯状态稍显低迷的情况下，德维恩-韦德承担起来掌控热火进攻的重任。而韦德的表现也丝毫没有令人失望，全场比赛他砍下了26分11篮板7助攻的准三双表现。上半场比赛，颇有些低迷的热火跟76人打得难解难分，韦德砍下了10分虽然不多，却也能够帮助热火3分领先对手。韦德相当不错的表现也在某种程度上掩盖了詹姆斯上半场的低迷，后者上半场仅仅6投1中拿到3分。事实上，热火这场比赛最低迷的人是迈克-毕比，他上了不到五分钟就被换下，随后的比赛都被雪藏起来。而除了毕比之外，热火的其他控卫都是不折不扣的角色球员，如此一来发动球队进攻的任务就完全落到了韦德和詹姆斯的肩上。好在两大巨头都已经熟悉了这样的任务，而韦德在完成组织任务的同时个人进攻还打得非常好。由于比赛之前热火已经3-1领先，76人拼死一搏的气势让他们一直紧紧咬住比分。这也逼迫在第四节打出了一些超级表现。韦德先是从正面突破，他闪电般的脚步让76人根本无从防守，随后他在禁区边上高高跃起，一记非常舒展的急停抛射帮助热火得到两分。接下来的那个回合里，韦德又持球单打，最后他的急停跳投命中让76人直接叫停。不过剩余五分钟，86-78的领先并没有让76人放弃，热火的突然哑火让他们又找寻到一丝机会。而在最关键的时刻，韦德也出现了本场比赛最大的失误，他在仅仅领先两分的时刻被吹了一次技术犯规，被76人追成89-90只差1分。如果没有这个技术犯规，热火在罚进球后76人就会落后4分，这个差距几乎就是不可逾越的了，可韦德给了76人搏三分的机会。不过还好热火最终有惊无险的拿下了比赛，韦德在最后9.3秒时命中的关键罚球成为了锁定胜局的一球。韦德这场比赛的表现算不得无可挑剔，尤其是最后时刻他因为情绪激动甚至差点酿成大错。不过在上半场最困难的时刻，是韦德站出来托起了球队。今天的表现如何并不重要，因为热火已经晋级了，而在即将和凯尔特人进行的第二轮里，打出精彩表现才是最重要的。(二六八)
体育,76人球员更衣室恶搞回应皇帝有些人连早餐都吃不完新浪体育讯北京时间4月28日(迈阿密时间4月27日)消息? 与76人的第五战前，勒布朗-詹姆斯的一个比喻引起了很多媒体的注意，结果瞬间在网上广泛传播。事情是这样的。NBA于今天上午公布了热火本周末的赛程，不管他们首轮系列赛打成什么样，都会在本周日(北京时间下周一)打比赛，对手如果不是76人(首轮第七场)就是凯尔特人(东部半决赛第一场)。热火的投篮训练结束后，有记者把这一消息告诉詹姆斯，问他这个安排对今晚的比赛有何影响？皇帝就说出了“我们只是要先吃完早餐”这一言论。詹姆斯这句话很值得回味，一方面透露了他今晚拿下76人的信心，赢比赛如同“吃个早餐”般简单，另外一方面，这场比赛不是最重要的，这只是早餐，重要的是周末与绿军的“正餐”。这句话很快就传到了76人的更衣室里，他们听到后大多都发出了冷笑。最搞笑的是路易斯-威廉姆斯， 他听到后就开始用早餐食物给眼前的队友取名字，把斯潘塞-霍伊斯叫做“Over Easy(半熟的煎蛋)”， 而把诺西奥尼则称呼为“Huevos Rancheros(农场煎蛋)”，整个更衣室一下成了欢乐的海洋。“我们不仅抗议他的这句话，甚至对他的这个类比也感到厌恶，”霍伊斯说，“很多时候，有些人连早餐 都吃不完。有些时候，你早上可能并不怎么饿，随便吃点东西就出门了……这类比太烂了。”(新浪体育 黎双富 发自迈阿密)
体育,ESPN为科比打抱不平 老鱼：只要有手有脚他就会上新浪体育讯北京时间4月28日，如果说季后赛首轮，湖人和黄蜂之间的比赛除了能看出卫冕冠军有点不给力之外。还能看出来的就是，舆论和球迷似乎对科比-布莱恩特还是不太信任。ESPN专栏作家戴夫-迈克麦拉明就特别针对这种不信任撰稿，到底外界还要求科比做到怎样？第五场比赛中，科比28分钟攻下全队最高的19分，还奉献了两次精彩的扣篮。结果，这些招来的居然是外界说他诈伤，实在让人很无语。实际上，就在第五场比赛之前，还有好几位骨科专家通过电台和微博发表了对科比伤情的看法，他们要求科比立即停止这些危险动作，因为稍有不慎，就有可能让他的左脚踝受到更大的伤害。至于后果，将会难以预料。可是，顽强的科比换来的又是什么呢？“我感觉还好，没觉得脚踝有骨折或是其他迹象，”第五场比赛后，科比如此解释自己拒绝深入检查时说，“即便是有问题，也没啥，我还是能打球。如果现在就让我西装革履坐在场边看球，那才真的是浪费时间。”的确，对湖人的死忠来说，这个15年来为洛杉矶带来了五座总冠军奖杯的家伙，是他们现在最应该也是最值得信任的人，没有第二选择。球迷们看不到的是，在第五场比赛开始之前和结束之后，科比的脚踝上一直是在做冰敷处理的。“我一直在用冰敷，一直在尝试用脚踝做动作，”科比说，“所以我也没办法保证睡眠，因为脚踝得不停地做动作，这个很关键，绝对不能让脚踝感觉到僵硬，从而影响到我打球。”没有超强的意志力，科比是无法在第五场带领湖人抢到赛点的。可惜的是，习惯性的偏见再一次对科比不公正了。“我们在尝试让科比相信，去接受深入检查绝对不是个坏点子。”在第五场之前的训练结束后，菲尔-杰克逊在接受采访的时候，都谈到了科比的倔强和好胜。很显然，大牌如禅师，也无法说服科比。“我可不是预言家，否则这轮比赛早结束了。不过我还是能感觉到科比会在比赛中有所发挥的，特别是在需要的时候，他一直就有那种能力。”虽然没能说服科比，但禅师还是对科比有信心。在提到科比的脚踝伤病时，老将德里克-费舍尔也是格外关心，“我试图和他走在一起，因为都知道我的脚步已经很慢了，拿我做衬托，大家可能不太会注意到科比的脚踝不适。”费舍尔也是一片好心。而谈到科比的倔强，“不管怎样，只要他有两只手和两条腿，他就肯定会打球的，在这方面，我们非常信任他。”虽然舆论有质疑，但至少，带伤的科比仍然能让队友放心，这才是最重要的。对胜利的极度渴望，是科比成功的原因，也是招徕羡慕嫉妒恨的根源。不过，在对阵黄蜂的第五场比赛之后，外界不应该再有理由对科比发难了。毕竟，他是天使城现在唯一可以信赖的擎天柱。(XWT185)
体育,今日数据趣谈：阿杜比肩魔术师 热火中锋另类纪录新浪体育讯北京时间4月28日，NBA共进行了3场比赛。以下是今日比赛中诞生的一些有趣数据：凯文-杜兰特得到41分，率领雷霆100-97战胜掘金，从而晋级次轮。杜兰特去年11月才年满22岁，也是NBA历史上第2年轻的季后赛40+球员。最年轻纪录属于“魔术师”约翰逊，他1980年总决赛对阵76人得到42分，年仅20岁就帮助湖人问鼎联盟。德维恩-韦德、克里斯-波什和勒布朗-詹姆斯均得到至少15分10板，率领热火淘汰76人。这是过去6个赛季，首次有三人组合在季后赛做到这一点。上一次是2005年西区半决赛，太阳对阵小牛，阿玛雷-斯塔德迈尔、史蒂夫-纳什和肖恩-马里昂均得到15+10。乔尔-安东尼在还剩17秒时命中两记罚球，帮助热火战胜76人。安东尼此役打了38分59秒没有任何运动战出手，这也写就了NBA季后赛的一项另类纪录。加里-尼尔命中压哨三分，马刺拖进加时后终于110-103险胜灰熊。在尼尔之前，上一位季后赛第4节不到1秒投进扳平三分的球员，是2004年对阵篮网的昌西-比卢普斯。不过当时活塞苦战3个加时，还是最终输掉了比赛。(阿布杜猫)
